סטטוס סביבת עבודה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סביבת עבודה,משתמש,חבר מאז,יחידה ארגונית,MINHAL_MANAGER_NAME,COST_CENTER_NAME,BUSINESS_LINE_DSC_HEB,סיווג,מיקום,אזור התכנסות,קהל,תאריך פתיחה,תאריך סגירה,מנהל קבוצה,בעלי קבוצה,מינימום משתמשים,מקסימום משתמשים,פתיחת הרשמה,סגירת הרשמה,ציון עובר,סטטוס סביבת עבודה,מזהה חיצוני,LBP,מיקום הקורס,מספר חשבונית,מרצה,מרצה חיצוני ?,מרצה פנימי,מרצה פנימי ?,משך הקורס,משך הקורס בשעות,סוג הקורס,סוג התקציב,ספק,עלות,עלות למשתתף בשקלים,עלות קורס כוללת,קהל יעד,קורס/שריון תקציב,רכזת אחראית על הקורס,שייך ליחידת הלמידה,תאריך סיום קורס,תאריך תחילת קורס,תקציב רוחב 35%,התקדמות במשימות,ציון משימות ממוצע,נוכחות במפגשים,סטטוס השלמה,תאריך השלמה,תאריך פעילות אחרונה,ציון
בטיחות וגהות — נוכחות מלאה חובה (מרץ 2026),אבי לוי,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20000,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,ליטל רוחקינד,כן,31/03/2026,01/03/2026,לא,1/1 (100%),100,3/3 (100%),כן,05/04/2026 10:00,05/04/2026,100
בטיחות וגהות — נוכחות מלאה חובה (מרץ 2026),דנה כהן,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20001,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,ליטל רוחקינד,כן,31/03/2026,01/03/2026,לא,1/1 (100%),100,3/3 (100%),כן,05/04/2026 10:00,05/04/2026,100
בטיחות וגהות — נוכחות מלאה חובה (מרץ 2026),גיל מזרחי,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20002,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,ליטל רוחקינד,כן,31/03/2026,01/03/2026,לא,1/1 (100%),100,3/3 (100%),כן,05/04/2026 10:00,05/04/2026,100
בטיחות וגהות — נוכחות מלאה חובה (מרץ 2026),נועה ברק,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20003,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,ליטל רוחקינד,כן,31/03/2026,01/03/2026,לא,1/1 (100%),100,3/3 (100%),כן,05/04/2026 10:00,05/04/2026,100
בטיחות וגהות — נוכחות מלאה חובה (מרץ 2026),רון אלון,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20004,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,ליטל רוחקינד,כן,31/03/2026,01/03/2026,לא,1/1 (100%),100,2/3 (67%),לא,,05/04/2026,100
בטיחות וגהות — נוכחות מלאה חובה (מרץ 2026),מיה שגב,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20005,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,ליטל רוחקינד,כן,31/03/2026,01/03/2026,לא,1/1 (100%),100,2/3 (67%),לא,,05/04/2026,100
ריענון נהלי איכות ISO — קבוצה א׳,טל אבידן,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20006,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,לי שטרן,כן,31/03/2026,01/03/2026,לא,,,2/2 (100%),כן,05/04/2026 10:00,05/04/2026,100
ריענון נהלי איכות ISO — קבוצה א׳,שירה נבו,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20007,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,לי שטרן,כן,31/03/2026,01/03/2026,לא,,,2/2 (100%),כן,05/04/2026 10:00,05/04/2026,100
ריענון נהלי איכות ISO — קבוצה א׳,עומר קפלן,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20008,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,לי שטרן,כן,31/03/2026,01/03/2026,לא,,,2/2 (100%),כן,05/04/2026 10:00,05/04/2026,100
ריענון נהלי איכות ISO — קבוצה א׳,ליאור דגן,15/09/2024,Learning Ops (81900000),דנה ישראלי,הדרכה,משאבי אנוש,כללי,מיקום: מרכז הלמידה נתניה,לוח זמנים: 3 מפגשים,רשימה סגורה,,,,,8,25,01/01/2026 00:00,01/03/2026 23:59,0,הסתיים,20009,נטע אשכנזי,מרכז למידה נתניה,,,,משה עומר,V,3 מפגשים,12,סינכרוני,,,השתתפות ללא עלות,,,כלל העובדים,קורס,לי שטרן,כן,31/03/2026,01/03/2026,לא,,,2/2 (100%),כן,05/04/2026 10:00,05/04/2026,100
