סטטוס סביבת עבודה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סביבת עבודה,משתמש,חבר מאז,יחידה ארגונית,MINHAL_MANAGER_NAME,COST_CENTER_NAME,BUSINESS_LINE_DSC_HEB,סיווג,מיקום,אזור התכנסות,קהל,תאריך פתיחה,תאריך סגירה,מנהל קבוצה,בעלי קבוצה,מינימום משתמשים,מקסימום משתמשים,פתיחת הרשמה,סגירת הרשמה,ציון עובר,סטטוס סביבת עבודה,מזהה חיצוני,LBP,מיקום הקורס,מספר חשבונית,מרצה,מרצה חיצוני ?,מרצה פנימי,מרצה פנימי ?,משך הקורס,משך הקורס בשעות,סוג הקורס,סוג התקציב,ספק,עלות,עלות למשתתף בשקלים,עלות קורס כוללת,קהל יעד,קורס/שריון תקציב,רכזת אחראית על הקורס,שייך ליחידת הלמידה,תאריך סיום קורס,תאריך תחילת קורס,תקציב רוחב 35%,התקדמות במשימות,ציון משימות ממוצע,נוכחות במפגשים,סטטוס השלמה,תאריך השלמה,תאריך פעילות אחרונה,ציון
Fundamentals of Cloud Engineering,נועה כהן,27/11/2024,Rapid Prototyping     (81931605),דנה ישראלי,טכנולוגיה,תקשוב וסייבר,תוכנה,מיקום: מרכז הלמידה נתניה,לוח זמנים:5 ימים שלמים 09:00-17:00,עלות הקורס למשתתף: 1413,,,חן רוקח,רכזת דמו,15,20,,,0,,,נטע אשכנזי,מרכז למידה נתניה,,אמיר קירש,V,,,5 ימים,40,סינכרוני,תקציב למידה ESL,"קלריטיון בע""מ",השתתפות כרוכה בתשלום,1413,28250,רשימה סגורה,קורס,חן רוקח,כן,02/01/2025,01/12/2024,,0/1 (0%),,6/6 (100%),כן,11/02/2026 10:55,11/02/2026,100
Fundamentals of Cloud Engineering,רון לוי,27/11/2024,צוות משימה וחוזי     (81038305),אייל כהן,טכנולוגיה,כלי טיס,תוכנה,מיקום: מרכז הלמידה נתניה,לוח זמנים:5 ימים שלמים 09:00-17:00,עלות הקורס למשתתף: 1413,,,חן רוקח,רכזת דמו,15,20,,,0,,,נטע אשכנזי,מרכז למידה נתניה,,אמיר קירש,V,,,5 ימים,40,סינכרוני,תקציב למידה ESL,"קלריטיון בע""מ",השתתפות כרוכה בתשלום,1413,28250,רשימה סגורה,קורס,חן רוקח,כן,02/01/2025,01/12/2024,,1/1 (100%),100,6/6 (100%),כן,11/02/2026 10:55,11/02/2026,100
Fundamentals of Cloud Engineering,עמית ברק,27/11/2024,צוות סימולטורים טקטיים     (81038311),גיל ברק,טכנולוגיה,כלי טיס,תוכנה,מיקום: מרכז הלמידה נתניה,לוח זמנים:5 ימים שלמים 09:00-17:00,עלות הקורס למשתתף: 1413,,,חן רוקח,רכזת דמו,15,20,,,0,,,נטע אשכנזי,מרכז למידה נתניה,,אמיר קירש,V,,,5 ימים,40,סינכרוני,תקציב למידה ESL,"קלריטיון בע""מ",השתתפות כרוכה בתשלום,1413,28250,רשימה סגורה,קורס,חן רוקח,כן,02/01/2025,01/12/2024,,1/1 (100%),100,6/6 (100%),כן,11/02/2026 10:55,11/02/2026,100
Fundamentals of Cloud Engineering,יעל רז,27/11/2024,DNA Digital   Novel Automation     (81038907),גיל ברק,טכנולוגיה,כלי טיס,תוכנה,מיקום: מרכז הלמידה נתניה,לוח זמנים:5 ימים שלמים 09:00-17:00,עלות הקורס למשתתף: 1413,,,חן רוקח,רכזת דמו,15,20,,,0,,,נטע אשכנזי,מרכז למידה נתניה,,אמיר קירש,V,,,5 ימים,40,סינכרוני,תקציב למידה ESL,"קלריטיון בע""מ",השתתפות כרוכה בתשלום,1413,28250,רשימה סגורה,קורס,חן רוקח,כן,02/01/2025,01/12/2024,,1/1 (100%),100,6/6 (100%),כן,11/02/2026 10:55,11/02/2026,100
Fundamentals of Cloud Engineering,תמר שלו,27/11/2024,Heli SW     (81061205),אייל כהן,טכנולוגיה,כלי טיס,תוכנה,מיקום: מרכז הלמידה נתניה,לוח זמנים:5 ימים שלמים 09:00-17:00,עלות הקורס למשתתף: 1413,,,חן רוקח,רכזת דמו,15,20,,,0,,,נטע אשכנזי,מרכז למידה נתניה,,אמיר קירש,V,,,5 ימים,40,סינכרוני,תקציב למידה ESL,"קלריטיון בע""מ",השתתפות כרוכה בתשלום,1413,28250,רשימה סגורה,קורס,חן רוקח,כן,02/01/2025,01/12/2024,,1/1 (100%),100,6/6 (100%),כן,11/02/2026 10:55,11/02/2026,100
Fundamentals of Cloud Engineering,אורי קדם,28/11/2024,HTD SW     (81060912),גיל ברק,ניהול,כלי טיס,תוכנה,מיקום: מרכז הלמידה נתניה,לוח זמנים:5 ימים שלמים 09:00-17:00,עלות הקורס למשתתף: 1413,,,חן רוקח,רכזת דמו,15,20,,,0,,,נטע אשכנזי,מרכז למידה נתניה,,אמיר קירש,V,,,5 ימים,40,סינכרוני,תקציב למידה ESL,"קלריטיון בע""מ",השתתפות כרוכה בתשלום,1413,28250,רשימה סגורה,קורס,חן רוקח,כן,02/01/2025,01/12/2024,,1/1 (100%),100,6/6 (100%),כן,11/02/2026 10:55,11/02/2026,100
Fundamentals of Cloud Engineering,שירה דרור,01/12/2024,SIMENGINE     (81064825),דנה ישראלי,דאטה,כלי טיס,תוכנה,מיקום: מרכז הלמידה נתניה,לוח זמנים:5 ימים שלמים 09:00-17:00,עלות הקורס למשתתף: 1413,,,חן רוקח,רכזת דמו,15,20,,,0,,,נטע אשכנזי,מרכז למידה נתניה,,אמיר קירש,V,,,5 ימים,40,סינכרוני,תקציב למידה ESL,"קלריטיון בע""מ",השתתפות כרוכה בתשלום,1413,28250,רשימה סגורה,קורס,חן רוקח,כן,02/01/2025,01/12/2024,,1/1 (100%),100,6/6 (100%),כן,11/02/2026 10:55,11/02/2026,100
Fundamentals of Cloud Engineering,דניאל שחר,27/11/2024,צוות תוכנה RT     (82493197),גיל ברק,ניהול,"מודיעין ול""א",תוכנה,מיקום: מרכז הלמידה נתניה,לוח זמנים:5 ימים שלמים 09:00-17:00,עלות הקורס למשתתף: 1413,,,חן רוקח,רכזת דמו,15,20,,,0,,,נטע אשכנזי,מרכז למידה נתניה,,אמיר קירש,V,,,5 ימים,40,סינכרוני,תקציב למידה ESL,"קלריטיון בע""מ",השתתפות כרוכה בתשלום,1413,28250,רשימה סגורה,קורס,חן רוקח,כן,02/01/2025,01/12/2024,,1/1 (100%),100,6/6 (100%),כן,11/02/2026 10:55,11/02/2026,100
Fundamentals of Cloud Engineering,מאיה איילון,27/11/2024,תוכנה אתרוג זהב     (82493158),אייל כהן,ניהול,"מודיעין ול""א",תוכנה,מיקום: מרכז הלמידה נתניה,לוח זמנים:5 ימים שלמים 09:00-17:00,עלות הקורס למשתתף: 1413,,,חן רוקח,רכזת דמו,15,20,,,0,,,נטע אשכנזי,מרכז למידה נתניה,,אמיר קירש,V,,,5 ימים,40,סינכרוני,תקציב למידה ESL,"קלריטיון בע""מ",השתתפות כרוכה בתשלום,1413,28250,רשימה סגורה,קורס,חן רוקח,כן,02/01/2025,01/12/2024,,1/1 (100%),100,6/6 (100%),כן,11/02/2026 10:55,11/02/2026,100
Fundamentals of Cloud Engineering,גיא פרץ,27/11/2024,הנדסת מערכת     (81053708),ויטלי גורביץ,,כלי טיס,תוכנה,מיקום: מרכז הלמידה נתניה,לוח זמנים:5 ימים שלמים 09:00-17:00,עלות הקורס למשתתף: 1413,,,חן רוקח,רכזת דמו,15,20,,,0,,,נטע אשכנזי,מרכז למידה נתניה,,אמיר קירש,V,,,5 ימים,40,סינכרוני,תקציב למידה ESL,"קלריטיון בע""מ",השתתפות כרוכה בתשלום,1413,28250,רשימה סגורה,קורס,חן רוקח,כן,02/01/2025,01/12/2024,,1/1 (100%),100,6/6 (100%),כן,11/02/2026 10:55,11/02/2026,100
Secure Software Development,נועה כהן,13/03/2025,וריפיקציה לתכן לוגי- צבאית ואזרחית     (81053803),משה פוריאן,,כלי טיס,חומרה,"מיקום: מרכז הלמידה חיפה מת""ם","לוח זמנים: 2 ימים מלאים, 16/06 - 19/06, 09:00-17:00",ללא עלות,,,חן רוקח,רכזת דמו,15,42,17/02/2025 00:00,01/06/2025 23:59,0,,,שירי שריד,מרכז למידה חיפה מתמ,,,,דרור רפפורט,V,2 ימים,16,סינכרוני,תקציב למידה ESL,,ללא עלות,,,Board designer Logic designer System engineers Technical managers,קורס,חן רוקח,כן,19/06/2025,16/06/2025,,0/1 (0%),,2/2 (100%),כן,31/07/2025 14:45,31/07/2025,0
Secure Software Development,רון לוי,13/03/2025,וריפיקציה לתכן לוגי- מערכות ראש ו- R&D     (81053810),משה פוריאן,,כלי טיס,חומרה,"מיקום: מרכז הלמידה חיפה מת""ם","לוח זמנים: 2 ימים מלאים, 16/06 - 19/06, 09:00-17:00",ללא עלות,,,חן רוקח,רכזת דמו,15,42,17/02/2025 00:00,01/06/2025 23:59,0,,,שירי שריד,מרכז למידה חיפה מתמ,,,,דרור רפפורט,V,2 ימים,16,סינכרוני,תקציב למידה ESL,,ללא עלות,,,Board designer Logic designer System engineers Technical managers,קורס,חן רוקח,כן,19/06/2025,16/06/2025,,0/1 (0%),,2/2 (100%),כן,31/07/2025 14:45,31/07/2025,0
Secure Software Development,עמית ברק,30/06/2025,"Red Platform SC, MC     (81931105)",בנימין כהן אדיב,,תקשוב וסייבר,חומרה,"מיקום: מרכז הלמידה חיפה מת""ם","לוח זמנים: 2 ימים מלאים, 16/06 - 19/06, 09:00-17:00",ללא עלות,,,חן רוקח,רכזת דמו,15,42,17/02/2025 00:00,01/06/2025 23:59,0,,,שירי שריד,מרכז למידה חיפה מתמ,,,,דרור רפפורט,V,2 ימים,16,סינכרוני,תקציב למידה ESL,,ללא עלות,,,Board designer Logic designer System engineers Technical managers,קורס,חן רוקח,כן,19/06/2025,16/06/2025,,0/1 (0%),,2/2 (100%),כן,31/07/2025 14:45,31/07/2025,0
Secure Software Development,יעל רז,13/03/2025,צוות - יוליה גלזמן     (82403031),דניאל לוי,,"מודיעין ול""א",חומרה,"מיקום: מרכז הלמידה חיפה מת""ם","לוח זמנים: 2 ימים מלאים, 16/06 - 19/06, 09:00-17:00",ללא עלות,,,חן רוקח,רכזת דמו,15,42,17/02/2025 00:00,01/06/2025 23:59,0,,,שירי שריד,מרכז למידה חיפה מתמ,,,,דרור רפפורט,V,2 ימים,16,סינכרוני,תקציב למידה ESL,,ללא עלות,,,Board designer Logic designer System engineers Technical managers,קורס,חן רוקח,כן,19/06/2025,16/06/2025,,0/1 (0%),,2/2 (100%),כן,31/07/2025 14:45,31/07/2025,0
Secure Software Development,תמר שלו,13/03/2025,וריפיקציה לתכן לוגי- מערכות ראש ו- R&D     (81053810),משה פוריאן,,כלי טיס,חומרה,"מיקום: מרכז הלמידה חיפה מת""ם","לוח זמנים: 2 ימים מלאים, 16/06 - 19/06, 09:00-17:00",ללא עלות,,,חן רוקח,רכזת דמו,15,42,17/02/2025 00:00,01/06/2025 23:59,0,,,שירי שריד,מרכז למידה חיפה מתמ,,,,דרור רפפורט,V,2 ימים,16,סינכרוני,תקציב למידה ESL,,ללא עלות,,,Board designer Logic designer System engineers Technical managers,קורס,חן רוקח,כן,19/06/2025,16/06/2025,,0/1 (0%),,2/2 (100%),כן,31/07/2025 14:45,31/07/2025,0
Secure Software Development,אורי קדם,05/03/2025,"מל""ט ואחרים - הנדסת מערכת     (82408011)",נתן הלוי,,"מודיעין ול""א",חומרה,"מיקום: מרכז הלמידה חיפה מת""ם","לוח זמנים: 2 ימים מלאים, 16/06 - 19/06, 09:00-17:00",ללא עלות,,,חן רוקח,רכזת דמו,15,42,17/02/2025 00:00,01/06/2025 23:59,0,,,שירי שריד,מרכז למידה חיפה מתמ,,,,דרור רפפורט,V,2 ימים,16,סינכרוני,תקציב למידה ESL,,ללא עלות,,,Board designer Logic designer System engineers Technical managers,קורס,חן רוקח,כן,19/06/2025,16/06/2025,,0/1 (0%),,2/2 (100%),כן,31/07/2025 14:45,31/07/2025,0
Secure Software Development,שירה דרור,13/03/2025,תחום וריפיקציה לתכן לוגי     (81053805),משה פוריאן,,כלי טיס,חומרה,"מיקום: מרכז הלמידה חיפה מת""ם","לוח זמנים: 2 ימים מלאים, 16/06 - 19/06, 09:00-17:00",ללא עלות,,,חן רוקח,רכזת דמו,15,42,17/02/2025 00:00,01/06/2025 23:59,0,,,שירי שריד,מרכז למידה חיפה מתמ,,,,דרור רפפורט,V,2 ימים,16,סינכרוני,תקציב למידה ESL,,ללא עלות,,,Board designer Logic designer System engineers Technical managers,קורס,חן רוקח,כן,19/06/2025,16/06/2025,,0/1 (0%),,2/2 (100%),כן,31/07/2025 14:45,31/07/2025,0
Secure Software Development,דניאל שחר,13/03/2025,צוות- סבטלנה פלדמן     (82460102),אלעד מרון,,"מודיעין ול""א",חומרה,"מיקום: מרכז הלמידה חיפה מת""ם","לוח זמנים: 2 ימים מלאים, 16/06 - 19/06, 09:00-17:00",ללא עלות,,,חן רוקח,רכזת דמו,15,42,17/02/2025 00:00,01/06/2025 23:59,0,,,שירי שריד,מרכז למידה חיפה מתמ,,,,דרור רפפורט,V,2 ימים,16,סינכרוני,תקציב למידה ESL,,ללא עלות,,,Board designer Logic designer System engineers Technical managers,קורס,חן רוקח,כן,19/06/2025,16/06/2025,,0/1 (0%),,2/2 (100%),כן,31/07/2025 14:45,31/07/2025,0
